reason,dataset_id,dataset_name,platform,species,tissue,data_access_link,original_publication,original_publication_link
no link of any kind recorded,li2022_massspectrom,Spatially resolved proteomics via tissue expansion dataset,mass-spectrometry,,,,"Li et al., Spatially resolved proteomics via tissue expansion, Nat. Commun. (2022)",
no link of any kind recorded,chu2023_unknown,Spatially resolved transcriptomic profiling dataset from Chu et al.,,,kidney,,"Chu et al., Autophagy of OTUD5 destabilizes GPX4 to confer ferroptosis-dependent kidney injury, Nat. Commun. (2023)",https://doi.org/10.1038/s41467-023-44228-5
no link of any kind recorded,jung2022_visium,Spatiotemporal cardiac infarction dataset,10x Visium,Mouse,Heart,,"Jung et al., Spatiotemporal dynamics of macrophage heterogeneity and a potential function of Trem2hi macrophages in infarcted hearts, Nat Commun (2022)",https://doi.org/10.1038/s41467-022-32284-2
no link of any kind recorded,stage_3_and_stag2022_10x_chromium,Stage 3 and Stage 4 floral meristem snRNA-seq,10x Chromium Single Cell 3' Reagent Kits v3,Arabidopsis thaliana,Floral meristems,,A 3D gene expression atlas of the floral meristem based on spatial reconstruction of single nucleus RNA sequencing data,https://doi.org/10.1038/s41467-022-30177-y
no link of any kind recorded,li2021_visium,Stanford type A aortic dissection spatial transcriptomics dataset,10x Visium,Human,Aortic Tissue,,"Li et al., Visualization and analysis of gene expression in stanford type A aortic dissection tissue section by spatial transcriptomics, Front Genet (2021)",https://doi.org/10.3389/fgene.2021.698124
no link of any kind recorded,stanford_wsi_codex,Stanford-WSI,CODEX,Human,Lung,,,
no link of any kind recorded,xu2024_stereo,Stereo-Seq (mouse liver dataset),Stereo-Seq,mouse,liver,,"Xu et al., A spatiotemporal atlas of mouse liver homeostasis and regeneration, Nat Genet (2024)",
no link of any kind recorded,stereo_seq_adult2026_stereo,Stereo-seq adult mouse brain dataset,Stereo-seq,mouse,brain,,Spatial perturb-seq: single-cell functional genomics within intact tissue architecture,https://doi.org/10.1038/s41467-026-69677-6
no link of any kind recorded,stereo_seq_datas2025_stereo,Stereo-seq dataset of primary breast tumors and metastatic lymph nodes,Stereo-seq,human,primary breast tumors and metastatic lymph nodes,,Spatially resolved atlas of breast cancer uncovers intercellular machinery of venular niche governing lymphocyte extravasation,https://doi.org/10.1038/s41467-025-58511-0
no link of any kind recorded,jiangshan2024_stereo,"Stereo-seq datasets (DT2_D0, DX6_D2, FB2_D1, and mouse liver atlas)",Stereo-seq,mouse,liver,,"Jiangshan et al., A spatiotemporal atlas of mouse liver homeostasis and regeneration, Nat Genet (2024)",
no link of any kind recorded,ou2022_stereo,Stereo-seq human cervical squamous cell carcinoma dataset,Stereo-seq,human,cervical squamous cell carcinoma,,"Ou et al., Single-nucleus RNA sequencing and spatial transcriptomics reveal the immunological microenvironment of cervical squamous cell carcinoma, Adv Sci (Weinh) (2022)",https://doi.org/10.1002/advs.202203040
no link of any kind recorded,chen2022_stereo_3,Stereo-seq mouse embryo dataset,Stereo-seq,mouse,embryo,,"Chen et al., Spatiotemporally transcriptomic atlas of mouse organogenesis using DNA nanoball-patterned arrays, Cell (2022)",
no link of any kind recorded,stereo_seq_mouse_stereo_3,Stereo-seq mouse lung dataset,Stereo-seq,mouse,lung,,,
no link of any kind recorded,chen2021_stereo_3,Stereo-seq mouse olfactory bulb dataset,Stereo-seq,mouse,olfactory bulb,,"Chen et al., Large field of view-spatially resolved transcriptomics at nanoscale resolution (2021)",
no link of any kind recorded,khong2017_unknown,Stress granule dataset,,,,,"Khong et al., The Stress Granule Transcriptome Reveals Principles of mRNA Accumulation in Stress Granules, Mol Cell (2017)",https://doi.org/10.3410/f.732110920.793547391
no link of any kind recorded,khong2017_biochemical,Stress granule transcriptome dataset,biochemical purification and sequencing,,stress granules,,"Khong et al., The stress granule transcriptome reveals principles of mRNA accumulation in stress granules, Mol. Cell (2017)",https://doi.org/10.3410/f.732110920.793547391
no link of any kind recorded,orre2019_mass_spectro,SubCellBarCode dataset,mass spectrometry (spatial proteomics),,Human cancer cell lines,,"Orre et al., SubCellBarCode: proteome-wide mapping of protein localization and relocalization, Mol Cell (2019)",https://doi.org/10.1016/j.molcel.2018.11.035
no link of any kind recorded,super_resolution2025_st,Super-Resolution Spatial Atlas of SARS-CoV-2 Infection in Human Cells,(d)STORM and 3D-DHPSF super-resolution fluorescence microscopy,Human,Lung epithelial cells (A549-ACE2),,A Super-Resolution Spatial Atlas of SARS-CoV-2 Infection in Human Cells,https://doi.org/10.1101/2025.08.15.670620
no link of any kind recorded,chitturi2023_visium,Systemic sclerosis bleomycin skin model dataset,Visium,Mouse,Skin,,"Chitturi et al., Tripterygium wilfordii derivative celastrol, a YAP inhibitor, has antifibrotic effects in systemic sclerosis, Ann Rheum Dis (2023)",
no link of any kind recorded,the2013_rnaseq,TCGA bulk RNA-seq,RNA-seq,Human,"Tumor types (colon, rectal, lung)",,"The Cancer Genome Atlas Research Network et al., The Cancer Genome Atlas Pan-Cancer analysis project, Nat Genet (2013)",https://doi.org/10.1038/ng.2764
no link of any kind recorded,chen2013_sleeping_bea,TRACER dataset of transposon-associated regulatory sensors,Sleeping Beauty lacZ transposons / lacZ imaging,mouse,,,"Chen et al., TRACER: a resource to study the regulatory architecture of the mouse genome, BMC Genom. (2013)",https://doi.org/10.1186/1471-2164-14-215
no link of any kind recorded,tracerx_100_coho2024_imc,TRACERx 100 cohort,IMC,Human,Non-small cell lung cancer,,Deep cell phenotyping and spatial analysis of multiplexed imaging with TRACERx-PHLEX,https://doi.org/10.1038/s41467-024-48870-5
no link of any kind recorded,consortium2020_scrnaseq,Tabula Muris Senis atlas,scRNA-seq,mouse,multiple organs,,"Consortium et al., A single-cell transcriptomic atlas characterizes ageing tissues in the mouse, Nature (2020)",
no link of any kind recorded,schaum2020_st,Tabula Muris mouse tissue collection,MGISEQ-400 sequencing system,Mus musculus,6 tissues (58 samples),,"Schaum et al., Ageing hallmarks exhibit organ-specific temporal signatures, Nature (2020)",https://doi.org/10.1530/ey.18.14.11
no link of any kind recorded,schaum2018_singlecell_r,Tabula Muris public mouse spleen dataset,Single-cell RNA-seq (Drop-seq),mouse,spleen,,"Schaum et al., Single-cell transcriptomics of 20 mouse organs creates a Tabula Muris, Nature (2018)",https://doi.org/10.3410/f.734142569.793569389
no link of any kind recorded,consortium2022_scrnaseq,Tabula Sapiens atlas,scRNA-seq,human,multiple organs,,"Consortium et al., The Tabula Sapiens: a multiple-organ, single-cell transcriptomic atlas of humans, Science (2022)",
no link of any kind recorded,eichhorn2017_unknown,Terrestrial Crown Condition Inventory (TCCI) forest health monitoring survey,,spruce,,,"Eichhorn et al., ICP Forests Manual on Methods and Criteria for Harmonized Sampling, Assessment, Monitoring and Analysis of the Effects of Air Pollution on Forests, Thünen Institute of Forest Ecosystems (2017)",
no link of any kind recorded,song2023_visium,Tomato callus shoot regeneration spatial transcriptomics dataset,10x Visium,Solanum lycopersicum,callus,,"Song et al., Spatial transcriptomics reveals light-induced chlorenchyma cells involved in promoting shoot regeneration in tomato callus, Proc. Natl. Acad. Sci. USA (2023)",https://doi.org/10.1073/pnas.2310163120
no link of any kind recorded,junker2014_tomo,Tomo-seq dataset (Zebrafish embryo),Tomo-seq,zebrafish,zebrafish embryo,,"Junker et al., Genome-wide RNA tomography in the zebrafish embryo, Cell (2014)",https://doi.org/10.1016/j.cell.2014.09.038
no link of any kind recorded,holler2021_tomo,Tomo-seq zebrafish embryo dataset,Tomo-seq,zebrafish,embryo,,"Holler et al., Spatio-temporal mRNA tracking in the early zebrafish embryo, Nat Commun (2021)",
no link of any kind recorded,tonsil_dataset_f_visiumhd,Tonsil dataset (Figs. 1 & 2),"CODEX-GeoMx, VisiumHD, CosMx",Human,Tonsil,,,
no link of any kind recorded,barylyuk2020_mass_spectro,Toxoplasma gondii hyperLOPIT dataset,mass spectrometry (hyper-LOPIT),,Parasites grown in and purified from human foreskin fibroblasts,,"Barylyuk et al., A comprehensive subcellular Atlas of the toxoplasma proteome via hyperLOPIT provides spatial context for protein functions, Cell Host Microbe (2020)",https://doi.org/10.3410/f.738830214.793582767
no link of any kind recorded,sidrauski2015_unknown,Translation efficiency dataset (Sidrauski et al.),,,,,"Sidrauski et al., The small molecule ISRIB reverses the effects of eIF2α phosphorylation on translation and stress granule assembly, Elife (2015)",https://doi.org/10.7554/elife.05033.015
no link of any kind recorded,wu2021_visium_6,Triple-negative breast cancer (TNBC) specimen (1160920F) (Wu et al.),10x Visium,Homo sapiens,Triple-negative breast cancer,,"Wu et al., A single-cell and spatially resolved atlas of human breast cancers, Nat. Genet. (2021)",
no link of any kind recorded,trypanosoma_cong2023_hyperlopit_l,Trypanosoma congolense BSF spatial proteome,hyperLOPIT (LC-SPS-MS3 proteomics),Trypanosoma brucei,,,Mapping diversity in African trypanosomes using high resolution spatial proteomics,https://doi.org/10.1038/s41467-023-40125-z
no link of any kind recorded,tumor_tma_and_no_xenium,Tumor TMA and Normal TMA datasets,"10x Xenium, Vizgen MERSCOPE, NanoString CosMx",Human,"7 tumor types and 16 normal tissue types (including breast, lung, bladder, colorectal, head and neck, melanoma, ovarian, prostate, kidney, liver, heart, lymph node, spleen, thyroid, skin, pancreas)",,,
no link of any kind recorded,thul2017_tmt_10plex,U2-OS cell line,TMT 10-plex,human,bone osteosarcoma epithelial (U2-OS) cell line,,"Thul et al., A subcellular map of the human proteome, Science (2017)",https://doi.org/10.3410/f.727603588.793532933
no link of any kind recorded,mahdessian2021_widefield_fl,U2OS-FUCCI dataset,Widefield fluorescence microscopy,Human,U-2 OS cell line,,"Mahdessian et al., Spatiotemporal dissection of the cell cycle with single-cell proteogenomics, Nature (2021)",https://doi.org/10.3410/f.739610768.793583765
no link of any kind recorded,wang2017_glycotyper_g,University of California at San Diego serum cohort,GlycoTyper glycan analysis,Human,Serum,,"Wang et al., Changes in the glycosylation of kininogen and the development of a kininogen-based algorithm for the early detection of HCC, Cancer Epidemiol. Biomark. Prev. (2017)",https://doi.org/10.1158/1055-9965.c.6515368
no link of any kind recorded,sanchezferras2021_spatial_tran,Urinary tract development dataset,Spatial Transcriptomics,Mouse,kidney,,"Sanchez-Ferras et al., A coordinated progression of progenitor cell states initiates urinary tract development, Nat Commun. (2021)",https://doi.org/10.1038/s41467-021-22931-5
no link of any kind recorded,visel2007_transgenic_m,VISTA murine enhancer lacZ-omic dataset,transgenic mice / lacZ,human and mouse,,,"Visel et al., VISTA enhancer browser—a database of tissue-specific human enhancers, Nucleic Acids Res. (2007)",https://doi.org/10.1093/nar/gkl822
no link of any kind recorded,vs_s1_and_vs_s22025_visium,VS_S1 and VS_S2,Visium Spatial Gene Expression,human,vestibular schwannoma,,Integrating single-cell and spatial transcriptomics reveals the cellular heterogeneity of vestibular schwannoma,https://doi.org/10.1038/s41698-025-01028-y
no link of any kind recorded,validation_cohor_cosmx,Validation cohort from University Hospital and Comprehensive Cancer Center Tübingen,CODEX-CosMx,Human,DLBCL,,,
no link of any kind recorded,snyder2019_st,Vanderbilt University BIOMIC HuBMAP kidney sections,MALDI-MSI and LC-MS/MS (LCM-microPOTS-TDP),Human,Kidney,,"Snyder et al., The human body at cellular resolution: the NIH Human Biomolecular Atlas Program, Nature (2019)",
no link of any kind recorded,verafish_mouse_h_verafish,VeraFISH mouse hippocampus dataset,VeraFISH,mouse,hippocampus,,,
no link of any kind recorded,ackerman2017_unknown,Visible Human Project dataset,,,,,"Ackerman et al., The Visible Human Project From body to bits, IEEE PULSE (2017)",https://doi.org/10.1109/mpul.2017.2701221
no link of any kind recorded,visium_visium_hd_visiumhd,Visium / Visium HD and Xenium In Situ datasets,"Visium, Visium HD, Xenium In Situ",murine,"palate and tooth (embryonic palate, maxillary first molar, maxillary incisor)",,,
no link of any kind recorded,visium_10x2023_visium,Visium 10x,Visium,human,kidney,,An atlas of healthy and injured cell states and niches in the human kidney,https://doi.org/10.1038/s41586-023-05769-3
no link of any kind recorded,wang2025_visiumhd,Visium HD dataset,Visium HD,Mouse,Femur (intact),,"Wang et al., Integrating spatial and single-cell transcriptomics to characterize mouse long bone fracture healing process, Commun Biol (2025)",https://doi.org/10.1126/scitranslmed.adg1323
no link of any kind recorded,visium_hd_sectio2025_visiumhd,Visium HD sections D1 and D2,10X Visium HD spatial transcriptomics,Human,Healthy facial skin (temporal region),,Development of an Integrated Single-Cell and Spatial Transcriptomics Atlas of Healthy Human Skin Focusing on the Pilosebaceous Unit,https://doi.org/10.1101/2025.09.09.675235
no link of any kind recorded,visium_hd_spatia_visiumhd,Visium HD spatial transcriptomic dataset of developing and adult mouse ovaries,Visium HD,mouse,ovary,,,
no link of any kind recorded,kumar2023_visium_2,Visium Human Breast dataset,10X Visium,Human,Breast,,"Kumar et al., A spatially resolved single cell genomic atlas of the adult human breast, bioRxiv (2023)",https://doi.org/10.1242/prelights.24536
no link of any kind recorded,visium_spatial_g_visium_11,Visium Spatial Gene Expression,Visium (10X Genomics),Human,Liver (cirrhotic explants/hilar core biopsies),,,
no link of any kind recorded,visium_spatial_g_visium_5,Visium Spatial Gene Expression (Space-TREX),Visium Spatial Gene Expression Kit (10x Genomics),mouse,brain,,,
no link of any kind recorded,visium_spatial_g2025_visium_2,Visium Spatial Gene Expression (human adult skin),10x Genomics Visium Spatial Gene Expression,Human,Skin,,A single-cell and spatial genomics atlas of human skin fibroblasts reveals shared disease-related fibroblast subtypes across tissues,https://doi.org/10.1038/s41590-025-02267-8
no link of any kind recorded,visium_spatial_g_visium_4,Visium Spatial Gene Expression dataset,Visium,Mouse,Bone (femur and tibia),,,
